keyword,hospital,title,description,originallink,link,pubDate,collected_at
서울아산병원,서울아산병원,[부고] 김현준(한국산업은행 노조위원장)씨 장모상,"▲ 이재순씨 별세, 이석주씨 부인상, 이용욱·이승연·이선혜씨 모친상, 이수미씨 시모상, 김현준(한국산업은행 노조위원장)·김형우씨 장모상 = 29일, 서울아산병원 장례식장 21호실, 발인 31일 오전 5시 20분.... ",https://www.yna.co.kr/view/AKR20260529177100034?input=1195m,https://n.news.naver.com/mnews/article/001/0016108557?sid=101,"Fri, 29 May 2026 23:51:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,[부고] 김현준(한국산업은행 노조위원장)씨 빙모상,"▲이재순씨 별세, 이석주씨 아내상, 이용욱·승연·선혜씨 모친상, 이수미씨 시모상, 김현준(한국산업은행 노조위원장), 김형우씨 빙모상, 김하윤·시윤·서율·서진씨 외조모상 = 29일, 서울아산병원 장례식장 21호실... ",https://www.ngetnews.com/news/articleView.html?idxno=550564,https://www.ngetnews.com/news/articleView.html?idxno=550564,"Fri, 29 May 2026 23:50:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,"""노쇠는 막을 수 있다""… 노인병학회, 초고령사회 의제 총집결","좌장은 이은주 서울아산병원 노년내과 교수(울산의대)다. 서울대에서 의학 석·박사를 마친 그는 2020년부터 아산병원 노년내과 교수로 재직하며 사회적 노쇠와 우울·장애의 연관성, 노인 변비와 신체 노쇠의 상관관계... ",https://kormedi.com/?p=2820483,https://n.news.naver.com/mnews/article/296/0000101021?sid=102,"Fri, 29 May 2026 23:24:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,"“50세 이후 절대 먹지 마라” 의사가 경고한 ‘패혈증 위험 음식’, 뭐...",서울아산병원 응급의학과 김준성 교수가 평소 먹지 않는 음식을 공개했다. 최근 유튜브 채널 ‘건강구조대’에 출연한 김준성 교수는 ‘50대 넘어 의사들이 절대 생으로 먹지 않는 음식’으로 날음식을 꼽았다. 그는... ,https://health.chosun.com/site/data/html_dir/2026/05/29/2026052901284.html,https://n.news.naver.com/mnews/article/346/0000110633?sid=103,"Fri, 29 May 2026 22:01:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,'명의' 김도훈·김용희 교수의 식도이완불능증 치료법,"서울아산병원은 식도괄약근이 위산과 음식물의 역류를 막는 역할을 한다고 설명하고 있으며, 식도 기능 이상이 생기면 음식이 위로 넘어가기 어려워질 수 있다고 밝히고 있다. ‘명의’는 역류성 식도염으로 여겨지기... ",https://www.bntnews.co.kr/article/view/bnt202605290203,https://www.bntnews.co.kr/article/view/bnt202605290203,"Fri, 29 May 2026 21:56:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,[부고] 박충서(전 한국교총 사무총장)씨 모친상,"(전 청주대 교수)씨 장모상, 조정숙·이창림·김현자(두원공과대 교수)씨 시모상 =별세: 29일 오후 3시30분 =빈소: 서울아산병원 장례식장 4호실 =발인: 31일 오전 5시 =장지: 경남 산청군 선영 =연락처: 02-3010-2000",https://www.newspim.com/news/view/20260529001234,https://www.newspim.com/news/view/20260529001234,"Fri, 29 May 2026 21:44:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,"지아이이노베이션, 전립선암 대상 GI-102 병용 임상 국내 승인","이번 임상은 국내에서는 연세대학교 의과대학 세브란스병원과 서울아산병원에서, 미국에서는 컬럼비아대 어빙 메디컬센터에서 진행될 예정이다. 미국 임상은 컬럼비아 의과대학 마크 스테인 교수가 주도하며... ",https://www.newsway.co.kr/news/view?ud=2026052920173645507,https://www.newsway.co.kr/news/view?ud=2026052920173645507,"Fri, 29 May 2026 20:18:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,"지아이이노베이션,전립선암 환자 'GI-10' 병용 임상1b/2상 IND 국내 승인","(신청일 3월 19일 :국내 식약처, 미국 FDA 동시 신청) 이 임상은 국내는 연세대학교 의과대학 세브란스병원과 서울아산병원에서 미국 임상은 Columbia University Irving Medical Center에서 진행될 예정이다.... ",https://www.yakup.com/news/index.html?mode=view&cat=12&nid=327881,https://www.yakup.com/news/index.html?mode=view&cat=12&nid=327881,"Fri, 29 May 2026 19:34:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,[부고] 박충서 씨(전 한국교총 사무총장) 모친상,"상무이사)·이경희 씨(전 청주대 교수) 장인상 = 29일, 서울아산병원 장례식장 4호실 , 발인 31일 오전 5시, 장지 경남 산청군 선영, (02)3010-2000 * 부고 게재 문의는 카톡 뉴스1제보, 이메일 (확인용 유족 연락처 포함)",https://www.news1.kr/society/education/6182112,https://n.news.naver.com/mnews/article/421/0008974403?sid=102,"Fri, 29 May 2026 18:53:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,[부음] 권완규씨 별세 외,"(031)456-5555 ▲최정운씨(서울대 정치외교학부 명예교수) 별세, 한진희씨 배우자상, 최은오 최민정 최윤석씨 부친상, 김가람씨 시부상, 박진영씨 장인상=27일 서울아산병원, 발인 30일 오전 7시. (02)3010-2000",https://www.mk.co.kr/article/12061521,https://n.news.naver.com/mnews/article/009/0005687055?sid=102,"Fri, 29 May 2026 18:02:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,[오늘의 부고 : 5월 29일] 박충서(전 한국교총 사무총장)씨 모친상 外,"3시30분, 서울아산병원 장례식장 4호실, 발인 31일 오전 5시, 장지 경남 산청군 선영. ☎ 02-3010-2000 ▲ 안복준씨 별세, 안병욱·병윤·병석·병렬(한화투자증권 정보보호팀장)씨 부친상 = 29일, 안양장례식장 B1층... ",https://www.news2day.co.kr/article/20260529500208,https://www.news2day.co.kr/article/20260529500208,"Fri, 29 May 2026 17:52:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,[부고] 박충서(전 한국교총 사무총장)씨 모친상,"(전 청주대 교수)씨 장모상, 조정숙·이창림·김현자(두원공과대 교수)씨 시모상 = 29일 오후 3시30분, 서울아산병원 장례식장 4호실, 발인 31일 오전 5시, 장지 경남 산청군 선영. ☎ 02-3010-2000 (서울=연합뉴스)",https://www.yna.co.kr/view/AKR20260529148500505?input=1195m,https://n.news.naver.com/mnews/article/001/0016108338?sid=102,"Fri, 29 May 2026 17:33:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,[부고] 박충서(전 한국교총 사무총장)씨 모친상,"아주산업 상무이사)·이경희(전 청주대 교수)씨 장모상, 조정숙·이창림·김현자(두원공과대학교 교수)씨 시모상 = 29일, 서울아산병원 장례식장, 발인 31일 오전 5시, 경남 산청 가족 납골당. 02-3010-2000 노혁진 전문기자",https://www.public25.com/news/articleView.html?idxno=47342,https://www.public25.com/news/articleView.html?idxno=47342,"Fri, 29 May 2026 17:32:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,"복지부, 보건의료데이터 활용 교육 개최…개정 가이드라인 교육","유소영 서울아산병원 교수는 ‘데이터 스튜어드십과 지속 가능성’을 주제로 ‘생명윤리 및 안전에 관한 법률’에 따른 기관생명윤리위원회와 DRB 표준 심의 모델, 데이터 활용 위험 수준에 따른 심의 방법 등을... ",https://www.edaily.co.kr/news/newspath.asp?newsid=05759686645453840,https://n.news.naver.com/mnews/article/018/0006293546?sid=102,"Fri, 29 May 2026 17:19:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,"""도시와 자연의 공존 가치 확산""…정영선 포니정 혁신상·IPARK현대산업개...","선유도공원과 여의도 샛강생태공원, 서울아산병원 등 다양한 프로젝트를 통해 자연과 인간이 공존하는 도시 공간을 구현해왔으며, 2023년에는 한국인 최초로 '조경계의 노벨상'이라 불리는 제프리 젤리코 상을... ",http://www.biztribune.co.kr/news/articleView.html?idxno=354261,http://www.biztribune.co.kr/news/articleView.html?idxno=354261,"Fri, 29 May 2026 17:18:00 +0900",2026-05-29 23:54:08
서울아산병원,서울아산병원,[부고] 안병렬(한화투자증권 정보보호팀 팀장)씨 부친상 외,모친상·신경호(전 아주산업 상무) 이경희(전 청주대 음악학부 교수)씨 장모상·조정숙 이창림 김현자(두원공과대학 유아교육과 교수)씨 시모상=29일 오후3시30분 서울아산병원 발인 31일 오전5시 (02)3010-2000,https://www.hankookilbo.com/news/article/A2026052916090004228?did=NA,https://n.news.naver.com/mnews/article/469/0000933478?sid=102,"Fri, 29 May 2026 16:30:00 +0900",2026-05-29 23:54:08
